SampleID,P,N,E,variable,value,label,unit,group
R-N3-13,Ryegrass,150%,-E,N_availability,45.8733337475703,Available N,mg kg^-1,available_N
R-N3-13,Ryegrass,150%,-E,pH,7.03,pH,,supplement
R-N3-13,Ryegrass,150%,-E,Soil_moisture,18.5897435897436,Soil moisture,%,supplement
R-N3-17,Ryegrass,150%,-E,TC_gkg,13.7686097621918,TC,g kg^-1,core
R-N3-17,Ryegrass,150%,-E,TN_gkg,0.563520640134811,TN,g kg^-1,core
R-N3-17,Ryegrass,150%,-E,SOC_gkg,2.16460697883963,SOC,g kg^-1,core
R-N3-17,Ryegrass,150%,-E,NO3_N,45.929042755718,NO3-N,mg kg^-1,available_N
R-N3-17,Ryegrass,150%,-E,NH4_N,16.6848769564024,NH4-N,mg kg^-1,available_N
R-N3-17,Ryegrass,150%,-E,N_availability,62.6139197121203,Available N,mg kg^-1,available_N
R-N3-17,Ryegrass,150%,-E,pH,7.16,pH,,supplement
R-N3-17,Ryegrass,150%,-E,Soil_moisture,13.2394366197183,Soil moisture,%,supplement
R-N4-11,Ryegrass,200%,-E,TC_gkg,22.7115702629089,TC,g kg^-1,core
R-N4-11,Ryegrass,200%,-E,TN_gkg,0.715996623039246,TN,g kg^-1,core
R-N4-11,Ryegrass,200%,-E,SOC_gkg,2.27742796613996,SOC,g kg^-1,core
R-N4-11,Ryegrass,200%,-E,NO3_N,35.4425486805889,NO3-N,mg kg^-1,available_N
R-N4-11,Ryegrass,200%,-E,NH4_N,5.48481841150083,NH4-N,mg kg^-1,available_N
R-N4-11,Ryegrass,200%,-E,N_availability,40.9273670920897,Available N,mg kg^-1,available_N
R-N4-11,Ryegrass,200%,-E,pH,7.09,pH,,supplement
R-N4-11,Ryegrass,200%,-E,Soil_moisture,13.1861912846633,Soil moisture,%,supplement
R-N4-13,Ryegrass,200%,-E,TC_gkg,17.3894941806793,TC,g kg^-1,core
R-N4-13,Ryegrass,200%,-E,TN_gkg,0.744672045111656,TN,g kg^-1,core
R-N4-13,Ryegrass,200%,-E,SOC_gkg,3.1125528216362,SOC,g kg^-1,core
R-N4-13,Ryegrass,200%,-E,NO3_N,48.4084726479512,NO3-N,mg kg^-1,available_N
R-N4-13,Ryegrass,200%,-E,NH4_N,9.1572563646883,NH4-N,mg kg^-1,available_N
R-N4-13,Ryegrass,200%,-E,N_availability,57.5657290126395,Available N,mg kg^-1,available_N
R-N4-13,Ryegrass,200%,-E,pH,7.04,pH,,supplement
R-N4-13,Ryegrass,200%,-E,Soil_moisture,12.4859392575928,Soil moisture,%,supplement
R-N4-17,Ryegrass,200%,-E,TC_gkg,17.4442303180695,TC,g kg^-1,core
R-N4-17,Ryegrass,200%,-E,TN_gkg,0.608893856406212,TN,g kg^-1,core
R-N4-17,Ryegrass,200%,-E,SOC_gkg,2.64120006254459,SOC,g kg^-1,core
R-N4-17,Ryegrass,200%,-E,NO3_N,33.7476301632949,NO3-N,mg kg^-1,available_N
R-N4-17,Ryegrass,200%,-E,NH4_N,12.8206880146598,NH4-N,mg kg^-1,available_N
R-N4-17,Ryegrass,200%,-E,N_availability,46.5683181779547,Available N,mg kg^-1,available_N
R-N4-17,Ryegrass,200%,-E,pH,7.18,pH,,supplement
R-N4-17,Ryegrass,200%,-E,Soil_moisture,12.0927664273882,Soil moisture,%,supplement
R-N1+E-16,Ryegrass,50%,+E,TC_gkg,13.5889780521393,TC,g kg^-1,core
