SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,SOC_gkg,SOC,1.99711243693241,g kg^-1,C_N_pool
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,NO3_N,NO3--N,40.4010209456111,mg kg^-1,available_N
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,NH4_N,NH4+-N,18.5512700084852,mg kg^-1,available_N
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,N_availability,Available N,58.9522909540962,mg kg^-1,available_N
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,pH,pH,7.12,none,supplement
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,13.2999443516973,%,supplement
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,TC_gkg,TC,16.7924213409424,g kg^-1,C_N_pool
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,TN_gkg,TN,0.635921284556389,g kg^-1,C_N_pool
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,SOC_gkg,SOC,2.70020075934349,g kg^-1,C_N_pool
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,NO3_N,NO3--N,26.704494709057,mg kg^-1,available_N
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,NH4_N,NH4+-N,15.8246423021989,mg kg^-1,available_N
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,N_availability,Available N,42.5291370112559,mg kg^-1,available_N
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,pH,pH,7.06,none,supplement
R-N2-13,黑麦草,100%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,16.211504938989,%,supplement
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,TC_gkg,TC,16.5846645832062,g kg^-1,C_N_pool
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,TN_gkg,TN,0.800571441650391,g kg^-1,C_N_pool
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,SOC_gkg,SOC,2.45238237175467,g kg^-1,C_N_pool
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,NO3_N,NO3--N,39.9715916354611,mg kg^-1,available_N
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,NH4_N,NH4+-N,11.1948974002588,mg kg^-1,available_N
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,N_availability,Available N,51.1664890357199,mg kg^-1,available_N
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,pH,pH,7.38,none,supplement
R-N2-17,黑麦草,100%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,11.7352614015573,%,supplement
